ColumnId,TemplateId,FrameworkId,Name,SheetName,DestinationTable,FieldGroup,ShortName,FieldName,DisplayName,ExportsTo,SqlDataType,MaxLength,SystemDataType,Mandatory,Hidden,Category,FrameworkNumber
16481,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,ContractNumber,ContractNumber,Contract Number,! do not export,varchar,255,System.String,False,,Travel,RM807
16287,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CostCentre,CostCentre,Cost Centre,! do not export,varchar,255,System.String,False,,Travel,RM807
5942,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,MilesTravelled,XCol9,Miles Travelled,Additional6,"decimal(18,4)",,System.Decimal,False,False,Travel,RM807
5943,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,RefulChgincfuelExVAT,XCol10,Refuelling Charges inc fuel ex VAT,Additional7,"decimal(18,4)",,System.Decimal,False,False,Travel,RM807
5944,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,RentalCompany,XCol11,Rental Company,Additional8,varchar,100,System.String,False,False,Travel,RM807
5945,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,BookingMethod,XCol12,Booking Method,,varchar,50,System.String,False,False,Travel,RM807
5946,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,OnLineBookingDscnt,XCol13,On line booking discount,,"decimal(18,4)",,System.Decimal,False,False,Travel,RM807
5917,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,LotNumber,LotNumber,Lot Number,LotNumber,varchar,5,System.String,True,False,Travel,RM807
5918,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustPostCode,CustPostCode,Customer PostCode,CustomerPostCode,varchar,10,System.String,False,False,Travel,RM807
5919,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustName,CustName,Customer Organisation,CustomerName,varchar,100,System.String,True,False,Travel,RM807
5920,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustURN,CustURN,Customer URN,CustomerURN,int,,System.Int32,True,False,Travel,RM807
5921,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustOrderNum,CustOrderNum,Customer Agreement Number/Reference,CustomerReferenceNumber,varchar,50,System.String,True,False,Travel,RM807
5922,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustInvoiceDate,CustInvoiceDate,Customer Invoice Date,InvoiceDate,date,,System.Date,True,False,Travel,RM807
5923,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustInvoiceNum,CustInvoiceNum,Customer Invoice Number,InvoiceNumber,varchar,50,System.String,True,False,Travel,RM807
5924,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,CustInvoiceLineNum,CustInvoiceLineNum,Customer Invoice Line Number,! do not export,varchar,20,System.String,True,False,Travel,RM807
5925,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,ProductDescription,ProductDescription,Invoice Line Product/Service Description,ProductDescription,varchar,250,System.String,True,False,Travel,RM807
5927,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,UNSPSC,UNSPSC,UNSPSC,UNSPSC,int,,System.Int32,False,False,Travel,RM807
5928,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,UnitOfPurchase,UnitOfPurchase,Unit of Purchase,UnitType,varchar,50,System.String,True,False,Travel,RM807
5929,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,UnitPrice,UnitPrice,Price per Unit,UnitPrice,"decimal(18,4)",,System.Decimal,True,False,Travel,RM807
5930,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,UnitQuantity,UnitQuantity,Invoice Line Quantity,UnitQuantity,"decimal(18,4)",,System.Decimal,True,False,Travel,RM807
5931,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,InvoiceLineTotal,InvoiceLineTotal,Total Charges (ex VAT),InvoiceValue,"decimal(18,4)",,System.Decimal,True,False,Travel,RM807
5932,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,VATIncluded,VATIncluded,VAT Applicable,VATIncluded,bit,5,System.Boolean,True,False,Travel,RM807
5933,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,VATCharged,VATCharged,VAT amount charged,VATCharged,"decimal(18,4)",,System.Decimal,True,False,Travel,RM807
5934,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,Default,PromotionCode,PromotionCode,Promotion Code,PromotionCode,varchar,50,System.String,False,False,Travel,RM807
5926,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,InvLineProdSveGrping,XCol1,Invoice Line Product/Service Grouping,ProductGroup,varchar,50,System.String,True,False,Travel,RM807
5935,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,RentalPeriod,XCol2,Rental Period,Additional1,varchar,50,System.String,False,False,Travel,RM807
5936,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,VehicleGroupBooked,XCol3,Vehicle Group Booked,Additional2,varchar,50,System.String,False,False,Travel,RM807
5937,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,VehicleGroupSupplied,XCol4,Vehicle Group Supplied,Additional3,varchar,50,System.String,False,False,Travel,RM807
5938,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,VehicleMake,XCol5,Vehicle Make,ProductClass,varchar,50,System.String,False,False,Travel,RM807
5939,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,VehicleDerivative,XCol6,Vehicle Derivative,ProductSubClass,varchar,50,System.String,False,False,Travel,RM807
5940,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,FuelType,XCol7,Fuel Type,Additional4,varchar,50,System.String,False,False,Travel,RM807
5941,230,394,Vehicle Hire (RM807),InvoicesRaised,Invoices,User Defined,CO2EmissionLevel,XCol8,CO2 Emission Level,Additional5,varchar,50,System.String,False,False,Travel,RM807
10450,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,CustPostCode,CustPostCode,Customer Postcode,CustomerPostCode,varchar,20,System.String,False,False,Workplace,CM/OSG/05/3565
10451,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,CustName,CustName,Customer Organisation,CustomerName,varchar,255,System.String,True,False,Workplace,CM/OSG/05/3565
10452,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,CustURN,CustURN,Customer URN,CustomerURN,int,,System.Int32,True,False,Workplace,CM/OSG/05/3565
10454,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,CustInvoiceDate,CustInvoiceDate,Customer Invoice Date,InvoiceDate,date,,System.Date,True,False,Workplace,CM/OSG/05/3565
10458,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,ProductGroup,ProductGroup,Service Type,ProductGroup,varchar,255,System.String,True,False,Workplace,CM/OSG/05/3565
10469,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,ProductClass,ProductClass,Product Group,ProductClass,varchar,255,System.String,False,False,Workplace,CM/OSG/05/3565
10470,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,ProductSubClass,ProductSubClass,Product Classification,ProductSubClass,varchar,255,System.String,False,False,Workplace,CM/OSG/05/3565
10457,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,ProductDescription,ProductDescription,Item Name or WAPP,ProductDescription,varchar,255,System.String,True,False,Workplace,CM/OSG/05/3565
10460,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,ProductCode,ProductCode,Item Code,ProductCode,varchar,255,System.String,False,False,Workplace,CM/OSG/05/3565
10461,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,UnitOfPurchase,UnitOfPurchase,Unit of Purchase,UnitType,varchar,50,System.String,True,False,Workplace,CM/OSG/05/3565
10462,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,UnitPrice,UnitPrice,Price per Item,UnitPrice,"decimal(18,4)",,System.Decimal,True,False,Workplace,CM/OSG/05/3565
10465,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,VATIncluded,VATIncluded,VAT Included,VATIncluded,bit,5,System.Boolean,True,False,Workplace,CM/OSG/05/3565
10463,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,UnitQuantity,UnitQuantity,Quantity,UnitQuantity,"decimal(18,4)",,System.Decimal,True,False,Workplace,CM/OSG/05/3565
10467,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,InvoiceLineTotal,InvoiceLineTotal,Total Spend,InvoiceValue,"decimal(18,4)",,System.Decimal,True,False,Workplace,CM/OSG/05/3565
10471,446,412,Laundry Services - Wave 2,Invoices,Invoices,User Defined,MnfctProdCode,XCol1,Manufacturers Product Code,Additional1,varchar,255,System.String,True,False,Workplace,CM/OSG/05/3565
10472,446,412,Laundry Services - Wave 2,Invoices,Invoices,User Defined,UoPQ,XCol2,Unit Quantity,Additional2,varchar,255,System.String,True,False,Workplace,CM/OSG/05/3565
16351,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,CostCentre,CostCentre,Cost Centre,! do not export,varchar,255,System.String,False,,Workplace,CM/OSG/05/3565
16545,446,412,Laundry Services - Wave 2,Invoices,Invoices,Default,ContractNumber,ContractNumber,Contract Number,! do not export,varchar,255,System.String,False,,Workplace,CM/OSG/05/3565
