URN,CustomerName,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10580963,East Midlands Councils,Pera Business Park Nottingham Road,Melton Mowbray,Leicestershire,Melton Mowbray,Leicestershire,England,LE13 0PB,Wider Public Sector,County Council,True
10580942,Tees Valley Collaborative Trust,Church Walk,Guisborough,North Yorkshire,Guisborough,North Yorkshire,England,TS14 6BU,Wider Public Sector,Academy (All Types),True
10580936,Horizon Church Sutton,Assembly Walk,Carshalton,Surrey,Carshalton,Surrey,England,SM5 1JH,Wider Public Sector,Charity,True
10580935,Hedworthfield Community Association,Cornhill,Jarrow,Tyne and Wear,Jarrow,Tyne and Wear,England,NE32 4QD,Wider Public Sector,Region: North East,True
10580932,Olive Academies,95 Ditchling Road,Brighton,East Sussex,Brighton,East Sussex,England,BN1 4ST,Wider Public Sector,Academy (All Types),True
10580930,West Road Surgery,183-195 North Road Westcliff-on-Sea,Southend-on-Sea,Essex,Southend-on-Sea,Essex,England,SS0 7AF,Wider Public Sector,GP Practice,True
10580929,The Wickham Centre,Mill Lane Wickham,Fareham,Hampshire,Fareham,Hampshire,England,PO17 5AL,Wider Public Sector,Education,True
10580928,The Acorn And Gaumont House surgery,153 Peckham High Street,London,Greater London,London,Greater London,England,SE15 5SL,Wider Public Sector,GP Practice,True
10580927,Emmanuel Church of England Middle School,Howe Lane,Verwood,Dorset,Verwood,Dorset,England,BH31 6JF,Wider Public Sector,Education,True
10580924,Leeds Arts University,Blenheim Walk,Leeds,Yorkshire,Leeds,Yorkshire,England,LS2 9AQ,Wider Public Sector,Universities,True
10580919,Grand Opera House Trust,Great Victoria Street,Belfast,County Antrim,Belfast,County Antrim,Northern Ireland,BT2 7HR,Wider Public Sector,Not for Profit,True
10580907,Mercia Learning Trust,Carterknowle Road,Sheffield,Yorkshire,Sheffield,Yorkshire,England,S2 7DY,Wider Public Sector,Academy (All Types),True
10580894,Level Two Youth Project,,,,,,,XXXX,Wider Public Sector,Charity,True
10580892,West Lincolnshire Domestic Abuse Service,PO BOX 125,Lincoln,Lincolnshire,Lincoln,Lincolnshire,England,LN1 1HA,Wider Public Sector,Charity,True
10580888,Qualifications Wales,"Ground Floor, Q2 Building, Imperial Business Park",Newport,Gwent,Newport,Gwent,Wales,NP10 8UH,Wider Public Sector,Other,True
10580885,The Bridges Community Trust,,,,,,,XXXX,Wider Public Sector,Charity,True
10580880,Vanguard Learning Trust,"c/o Vyners School, Warren Road, Ickenham",Ickenham,Middlesex,Ickenham,Middlesex,England,UB10 8AB,Wider Public Sector,Education,True
10580879,Bedfordshire Opportunities for Learning Disabilities,,,,,,,XXXX,Wider Public Sector,Charity,True
10580872,Defence Primary Healthcare,,,,,,,XXXX,Wider Public Sector,TBA,True
10580864,Audit Scotland,,,,,,,XXXX,Wider Public Sector,TBA,True
10580863,House of Grace AoG - Miracle Centre Swindon,Even Comm. Centre Old School Jennings Street,Swindon,Wiltshire,Swindon,Wiltshire,England,SN2 2BG,Wider Public Sector,Charity,True
10580862,Malmesbury Primary School,"MALMESBURY PRIMARY SCHOOL  Coborn Street, Bow,",London,,London,,,E3 2AB,Wider Public Sector,Education,True
10580858,Dfamat,Astor Avenue,Dover,Kent,Dover,Kent,England,CT17 0AS,Wider Public Sector,Academy (All Types),True
10580857,North East Ambulance Service Unified Solutions 1,"16-32 Luxembourg Road,","Pallion, Sunderland",,"Pallion, Sunderland",,England,SR46 SJ,Wider Public Sector,Ambulance Trust,True
10580853,Norfolk Constabulary,Building 8 Jubille House Falconers Chase,Wymondham,Norfolk,Wymondham,Norfolk,England,NR18 0WW,Wider Public Sector,Police Authority,True
10580850,Ore Valley Housing Association,,,,,,,XXXX,Wider Public Sector,Housing Associations,True
10580849,Ore Valley Housing Association,"114-116 Station Road, Cardenden",Lochgelly,Fife,Lochgelly,Fife,Scotland,KY5 0BW,Wider Public Sector,Not for Profit,True
10580835,Body and Soul Charity,99-119 Rosebery Avenue,London,Greater London,London,Greater London,England,EC1R 4RE,Wider Public Sector,Charity,True
10580827,Centre for Stewardship,The Centre for Stewardship at Falkland The Stables Falkland Estate,Falkland,Fife,Falkland,Fife,Scotland,KY15 7AF,Wider Public Sector,Charity,True
10580823,West Wales DAS Limited,,,,,,,XXXX,Wider Public Sector,Charity,True
10580822,Calan DVS,,,,,,,XXXX,Wider Public Sector,Charity,True
10580821,Threshold DAS Limited,,,,,,,XXXX,Wider Public Sector,Charity,True
10580820,Craigsfarm Community Development Project Ltd,Maree Walk,Livingston,West Lothian,Livingston,West Lothian,Scotland,EH54 5BP,Wider Public Sector,Charity,True
10580819,Hospicare,"Hospiscare, Searle House, Dryden Road",Exeter,,Exeter,,,EX2 5JJ,Wider Public Sector,Charity,True
10579606,Victims First Northumbria,Cobalt Business Exchange Cobalt Park Way,Wallsend,Tyne and Wear,Wallsend,Tyne and Wear,England,NE28 9NZ,Wider Public Sector,Charity,True
10579478,West of England Combined Authority,,,,,,,XXXX,Wider Public Sector,,True
10579413,Leidos Supply Ltd (MoD Contracts),8 Monarch Court The Brooms Emersons Green,Bristol,Gloucestershire,Bristol,Gloucestershire,England,BS16 7FH,Central Government,,True
10578943,Gov Facility Services Ltd (MoJ's 3rd Party FM Agent),102 Petty France,London,,London,,,SS1H 9AJ,Central Government,Prisons,True
10578734,Suffolk Libraries,"Suffolk Libraries, Ipswich County Library Northgate Street",Ipswich,Suffolk,Ipswich,Suffolk,England,IP1 3DE,Wider Public Sector,Charity,True
10578203,Harrogate Healthcare Facilities Management Limited,Harrogate District Hospital Lancaster Park Road,Harrogate,North Yorkshire,Harrogate,North Yorkshire,England,HG2 7SX,Wider Public Sector,Support,True
10567958,Health Education England (Leeds 2),"Blenheim House, Duncomb Street",Leeds,,Leeds,,,LS1 4PL,Central Government,Executive non-departmental public body,True
10565236,Royal Air Force (RAF),,,,,,,XXXX,Central Government,MoD - RAF,True
10562827,Essex Partnership University NHS Foundation Trust,"Thameside House, Thurrock Hospital Long Lane",Grays,Essex,Grays,Essex,England,RM162PX,Wider Public Sector,Mental Health Trust,True
10562251,Brazilian Naval Commission In Europe,170 Upper Richmond Road,London,,London,,England,SW15 2SH,Central Government,Overseas,True
10562122,South Tees Site Company Limited,Steel House,Redcar,North Yorkshire,Redcar,North Yorkshire,England,TS10 5QW,Central Government,Public Corporation,True
10542213,Sunbury & Walton Sea Cadets,Training Ship Black Swan River Ash Estate,Shepperton,Surrey,Shepperton,Surrey,England,TW17 8NG,Central Government,MoD - Reserve Forces & Cadets,True
10542034,NATO HQ ARRC Italian NSE Innsworth,Innsworth,Gloucester,Gloucestershire,Gloucester,Gloucestershire,England,GL3 1HW,Central Government,Overseas,True
10541921,Health Education England (Wakefield),Phoenix House Topcliffe Lane Tingley,Wakefield,West Yorkshire,Wakefield,West Yorkshire,England,WF3 1WE,Central Government,Executive non-departmental public body,True
10541646,90 (Speke) Aircadets,39 Woolton Road Garston,Liverpool,Merseyside,Liverpool,Merseyside,England,L19 5ND,Central Government,MoD - Reserve Forces & Cadets,True
10051302,National Infrastructure Commission,"National Infrastructure Commission  4th Floor, Finlaison House  15-17 Furnival Street",London,,London,,,EC4A 1AB,Central Government,Other,True
10051296,Lammy Review,,,,,,,XXXX,Central Government,Other,True
10051275,Housing Ombudsman Services,Exchange Tower 1 Harbour Exchange Square,London,,London,,,E14 9GE,Central Government,Executive non-departmental public body,True
10044023,Ministry of Justice HQ Estates,102 Petty France,London,,London,,England,SW1H 9AJ,Central Government,TBA,True
10043816,Babcock Land Ltd,1 Enterprise Way Aviation Park Bournemouth International Airport Hurn,Christchurch,Dorset,Christchurch,Dorset,England,BH23 6BS,Central Government,,True
10042903,Royal Air Force Central Fund,Naphill,High Wycombe,Buckinghamshire,High Wycombe,Buckinghamshire,England,HP14 4UE,Central Government,MoD - RAF,True
10042838,Ebbsfleet Development Corporation,2 Marsham Street,London,Middlesex,London,Middlesex,England,SW1P 4DF,Central Government,Executive non-departmental public body,True
10042188,Groceries Code Adjudicator,Victoria House,London,Greater London,London,Greater London,England,WC1B 4DA,Central Government,Other,True
