framework_short_name,supplier_name
CM/OSG/05/3565,Berendsen UK Limited
CM/OSG/05/3565,Central Laundry
CM/OSG/05/3565,Pennine Acute Hospitals NHS Trust
CM/OSG/05/3565,Synergy Health PLC
RM1031,Berendsen UK Limited
RM1031,Central Laundry
RM1031,East Lancashire Hospitals NHS Trust
RM1031,Express Linen Services Limited
RM1031,Maidstone & Tunbridge Wells NHS Trust
RM1031,Pennine Acute Hospitals NHS Trust
RM1031,Royal Devon and Exeter Hospital
RM1031,Salisbury Healthcare NHS Trust
RM1031,Synergy Health Managed Services Ltd
RM1070,Alexander-Dennis Ltd
RM1070,Audi UK Ltd
RM1070,BMW UK Ltd
RM1070,Citroen UK Ltd
RM1070,DAF TRUCKS LTD
RM1070,Dennis Eagle Limited
RM1070,DUCATI UK LTD
RM1070,EvoBus (UK) Ltd
RM1070,Fiat Group Automobiles UK Ltd
RM1070,FORD MOTOR COMPANY LTD
RM1070,General Motors UK Ltd
RM1070,HEIL FARID EUROPEAN CO LTD
RM1070,HONDA MOTOR EUROPE LTD
RM1070,Hyundai Motor UK Ltd
RM1070,ISUZU (UK) LTD
RM1070,Iveco Ltd
RM1070,Jaguar Land Rover Limited
RM1070,Kawasaki Motors Europe N.V.
RM1070,Kia Motors (UK) Ltd
RM1070,MAN Truck & Bus UK Ltd
RM1070,MERCEDES BENZ TRUCK & VAN
RM1070,MERCEDES-BENZ UK Ltd
RM1070,Nissan Motor GB Ltd
RM1070,Peugeot Motor Company plc
RM1070,Piaggio & C Spa
RM1070,RENAULT TRUCKS UK LTD
RM1070,Renault UK Ltd
RM1070,SEAT UK Ltd
RM1070,Skoda Auto UK
RM1070,SUBARU (UK) LTD
RM1070,SUZUKI GB PLC
RM1070,The Colt Car Company Limited
RM1070,Toyota (GB) PLC
RM1070,TOYOTA (GIBRALTAR) STOCKHOLDINGS LIMITED
RM1070,Volkswagen (UK) Ltd
RM1070,Volkswagen Commercial Vehicles
RM1070,Volvo Cars UK Ltd
RM1070,WHALE TANKERS LTD
RM1070,Yamaha Motor (UK) Ltd
RM3710,ALD Automotive Ltd
RM3710,Alphabet (GB) Limited
RM3710,Arnold Clark Vehicle Management
RM3710,Arval UK Ltd
RM3710,BT Fleet
RM3710,Dawsonrentals Truck and Trailer Ltd
RM3710,Fleetcare
RM3710,Fraikin Ltd
RM3710,GMP Drivercare Ltd
RM3710,Hitachi Capital Vehicle Solutions Ltd
RM3710,Inchcape Fleet Solutions
RM3710,Knowles Associates Total Fleet Management Ltd
RM3710,Leasedrive Limited
RM3710,LeasePlan UK Limited
RM3710,Lex Autolease
RM3710,Lookers Leasing Limited
RM3710,Mercedes-Benz Financial Services UK Limited (Daimler Fleet Management)
RM3710,Ryder Ltd
RM3710,Volkswagen Financial Services (UK) Ltd
RM3754,ALD Automotive Ltd
RM3754,APD Communications Ltd
RM3754,Ashwoods Automotive Limited
RM3754,Ctrack Ltd
RM3754,E-Pire Limited
RM3754,EDC Systems Ltd
RM3754,Exeros Technologies
RM3754,L&A Consultants Ltd
RM3754,Ortus Technology Limited
RM3754,Quartix Limited
RM3754,RSG Engineering Ltd
RM3754,Simplytrak Limited
RM3754,TELETRAC NAVMAN (UK) LTD
RM3754,Terrafix Ltd
RM3754,Trimble Europe B.V.
RM3754,UK Telematics Limited
RM3754,Vision Unique Equipment Ltd
RM3767,ATS Euromaster Ltd
RM3767,GOODYEAR DUNLOP TYRES UK Ltd
RM3767,Michelin Tyre Plc
RM3772,Berendsen UK Limited
RM3772,Synergy Health Managed Services Ltd
RM3797,LM Information Delivery UK Limited
RM807,Arnold Clark Car & Van Rental
RM807,Enterprise Rent-A-Car
RM807,Hertz UK Ltd
RM807,Leasedrive Velo
RM849,Berendsen UK Limited
RM849,Central Laundry
RM849,Pennine Acute Hospitals NHS Trust
RM849,Royal Devon & Exeter NHS Foundation Trust
RM849,Salisbury Healthcare NHS Trust
RM849,Synergy Health PLC
RM858,Babcock Land Ltd
RM858,Fraikin Ltd
RM858,Hitachi Capital Vehicle Solutions Ltd
RM858,Inchcape Fleet Solutions
RM858,LeasePlan UK Limited
RM858,Lex Autolease
RM858,TC Harrison Group Ltd
