URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10581312,Silva Homes Ltd,,Western Peninsula Western Road Bracknell,berkshire,,berkshire,,England,RG12 1RF,Wider Public Sector,Charity,True
10581303,Enable Leisure & Culture,,"The Park Offices, Staff Yard, Battersea Park",London,Greater London,London,Greater London,England,SW11 4NJ,Wider Public Sector,Charity,True
10581288,EP Collier Primary School,,EP Collier Primary School and Nursery Ross Road,Reading,Berkshire,Reading,Berkshire,England,RG1 8DZ,Wider Public Sector,Education,True
10581286,Sharnbrook Academy Federation,,Sharnbrook Academy Federation Great Ouse Primary Academy Seaforth Gardens,Bedford,Bedfordshire,Bedford,Bedfordshire,England,MK40 4TJ,Wider Public Sector,Academy (All Types),True
10581285,Wise Origin College,,Wise Origin College 22 St Georges Way,Leicester,Leicestershire,Leicester,Leicestershire,England,LE1 1SH,Wider Public Sector,Colleges of Further Education,True
10581279,Lincolnshire Housing Partnership,,"Westgate Park, Charlton Street",Grimsby,Lincolnshire,Grimsby,Lincolnshire,England,DN31 1SQ,Wider Public Sector,Housing Associations,True
10581275,Homeschool Social Enterprise,,49 Manifold Way,Wednesbury,West Midlands,Wednesbury,West Midlands,England,WS10 0GB,Wider Public Sector,Education,True
10581273,Ysgol Dyffryn Nantlle,,,,,,,,XXXX,Wider Public Sector,Health,True
10581263,North Norfolk Academy Trust,,Holt Road,Sheringham,Norfolk,Sheringham,Norfolk,England,NR26 8ND,Wider Public Sector,Academy (All Types),True
10581262,Esher Learning Trust,,ELT More Lane,Esher,Surrey,Esher,Surrey,England,KT10 8AP,Wider Public Sector,Education,True
10581256,The Yare Education Trust,,Laundry Lane Thorpe St. Andrew,Norwich,Norfolk,Norwich,Norfolk,England,NR7 0XS,Wider Public Sector,Local Authority Maintained School (All Types),True
10581253,Berkshire County Council,,,,,,,,XXXX,Wider Public Sector,County Council,True
10581250,Ryde Inshore Rescue,,19 Greenway  Binstead  Ryde  Isle of White  PO33 3SD,,,,,,XXXX,Wider Public Sector,Charity,True
10581248,Furniturelink,,2B Merrow Business Park,Guildford,Surrey,Guildford,Surrey,England,GU4 7WA,Wider Public Sector,Charity,True
10581235,ASH Wales,,14-18 City Road,Cardiff,,Cardiff,,,CF24 3DL,Wider Public Sector,Charity,True
10581208,Staffordshire Police & Crime Commissioner,,Weston Road Complex Weston Road,Stafford,Staffordshire,Stafford,Staffordshire,England,ST18 0YY,Wider Public Sector,TBA,True
10581199,LFC Foundation,,Anfield Road,Liverpool,Merseyside,Liverpool,Merseyside,England,L4 0TH,Wider Public Sector,Charity,True
10581150,Kingdom Abuse Survivors Project ,,,,,,,,XXXX,Wider Public Sector,Charity,True
10581148,The Hurlingham Academy,,,,,,,,XXXX,Wider Public Sector,Education,True
10581146,Systems Powering Healthcare,,369 Fulham Road,London,,London,,England,SW10 9NH,Wider Public Sector,Support,True
10581139,GLOUCESTERSHIRE HOSPITALS SUBSIDIARY COMPANY LIMITED,,Riverside House College Baths Road,Cheltenham,Gloucestershire,Cheltenham,Gloucestershire,England,GL53 7QB,Wider Public Sector,TBA,True
10581137,Send C of E Primary School,,Send Barns Ln Send,Woking,Surrey,Woking,Surrey,England,GU23 7BS,Wider Public Sector,Education,True
10581132,Preston Care & Repair,,Suite 4 Hamilton House Leyland Business Park Centurion Way,Leyland,Lancashire,Leyland,Lancashire,England,PR25 3GR,Wider Public Sector,Charity,True
10581130,Humanity First,,"Unit 27,  Red Lion Business Park, Red Lion Road",Surbiton,Greater London,Surbiton,Greater London,England,KT6 7QD,Wider Public Sector,Charity,True
10581129,Easingwold District Community Care Association,,"Police House,  Church Hill",Easingwold,North Yorkshire,Easingwold,North Yorkshire,England,YO61 3JX,Wider Public Sector,Charity,True
10581127,The Diocese of Sheffield Academies Trust,,"Flanderwell Early,  Excellence Centre, Greenfield Court",Rotherham,South Yorkshire,Rotherham,South Yorkshire,England,S66 2JF,Wider Public Sector,Charity,True
10581126,East Sussex Hearing Resource Centre,,8 St Leonards Road,Eastbourne,East Sussex,Eastbourne,East Sussex,England,BN21 3UH,Wider Public Sector,Charity,True
10581125,Nottingham City GP Alliance,,79A Upper Parliament Street,Nottingham,Nottinghamshire,Nottingham,Nottinghamshire,England,NG1 6LD,Wider Public Sector,GP Practice,True
