URN,CustomerName,Acronym,Address1,Address2,Address3,Town,County,Country,PostCode,Sector,Subsector,Active
10582545,Carlton Street Surgery,,"Carlton Street, Burton on Tent",,,,,,DE13 0TH,Wider Public Sector,GP Practice,True
10582531,CP Riverside School,,Riverside Way,Nottingham,Nottinghamshire,Nottingham,Nottinghamshire,England,NG2 1DP,Wider Public Sector,Education,True
10582530,The Light Church Bradford Trust,,The Light Centre 86 Captain Street,Bradford,West Yorkshire,Bradford,West Yorkshire,England,BD1 4EL,Wider Public Sector,Charity,True
10582529,Eltham Hill School,,Eltham Hill,London,Greater London,London,Greater London,England,SE9 5EE,Wider Public Sector,Local Authority Maintained School (All Types),True
10582528,AED Donate,,69 High St,Stone,Staffordshire,Stone,Staffordshire,England,ST15 8AD,Wider Public Sector,Charity,True
10582527,Shared Services Connected Limited,,,,,,,,XXXX,Wider Public Sector,,True
10582519,ASSOCIATION FOR DISABLED - SITTINGBOURNE,,Flat 1 Churchill House Portland Avenue,Sittingbourne,Kent,Sittingbourne,Kent,England,ME10 3RB,Wider Public Sector,Charity,True
10582517,South West Public Transport Information Ltd (SWPTI),,101a Plymouth Science Park Davy Road Derriford,Plymouth,Devon,Plymouth,Devon,England,PL6 8BX,Central Government,Transport,True
10581748,NHS Bradford City CCG,,Bowling Old Lane,Bradford,West Yorkshire,Bradford,West Yorkshire,England,BD5 7JR,Wider Public Sector,Clinical Commissioning Group,True
10581747,Priory Federation of Academies Trust,,"Priory House,  Cross O'Cliff Hill",Lincoln,Lincolnshire,Lincoln,Lincolnshire,England,LN5 8PW,Wider Public Sector,Academy (All Types),True
10581746,Hope Learning Trust York,,"Vale of York Academy,  Rawcliffe Drive",York,Yorkshire,York,Yorkshire,England,YO30 6ZS,Wider Public Sector,Education,True
10581745,London North Eastern Railway (LNER),,25 Skeldergate,York,North Yorkshire,York,North Yorkshire,England,YO1 6DH,Central Government,Transport,True
10581742,Federation of Synagogues,,65 Watford Way,London,,London,,England,NW4 3AQ,Wider Public Sector,Charity,True
10581737,Deyton Bell Limited,,,,,,,,XXXX,Wider Public Sector,,True
10581736,The Coal Industry Social Welfare Organisation,,"The Old Rectory,  Rectory Drive",Rotherham,South Yorkshire,Rotherham,South Yorkshire,England,S60 4JG,Wider Public Sector,Charity,True
10581735,Highfurlong School,,Blackpool Old Road,Blackpool,Lancashire,Blackpool,Lancashire,England,FY3 7LR,Wider Public Sector,Specialist Schools,True
10581733,Cantium Business Solutions Ltd,,Sessions House County Road,Maidstone,Kent,Maidstone,Kent,England,ME14 1XQ,Wider Public Sector,Region: South East,True
10581728,Cambridge Meridian Academies Trust,,,,,,,,XXXX,Wider Public Sector,Education,True
10581726,St Helens & Knowsley Teaching Hospitals NHS Trust,,,,,,,,XXXX,Wider Public Sector,TBA,True
