framework_number,lot_number,lot_description
06/GEN/SS/1030,1,Service Providers Lot1
06/GEN/SS/1030,2,Master Vendor Lot2
A206100,1,Property and Facilities Management Services
A217832,4,Finance & Audit
A217832,5,PPM
A217832,6,One Stop Shop
A217832,1,IT
A217832,2,Admininstration/support staff
A217832,3,HR
A217833,4,Peripherals
A217833,5,IT Consumables & Accessories
A217833,2,Network Infrastructure Equipment
A217833,7,"Office Productivity, Tools, Miscellaneous Applications & Database Software"
A217833,1s,Reseller (Software)
A217833,1h,Reseller (Hardware)
A217833,3,Client Devices
A217833,8,"Network, Security, Maintenance Software"
A217833,11,Enterprise Resourcing Planning (ERP) Application Software
A217833,10,"Data Management, Utilities, Storage Software"
A217833,6,Operating System Software
A217833,9,"Development, Design, Test Software"
A217834,3,e-Business
A217834,4,IT Security Consultancy
A217834,5,Telecommunications Consultancy
A217834,6,Application Design Consultancy
A217834,7,Emerging Technology Consultancy
A217834,1,Business Strategy
A217834,2,IT Architecture Design including Networking & Communications
A217834,8,Enterprise Resource Planning Consultancy
A217835,2.6,Organisational Development - Education and Children's Services
A217835,1,Business Strategy
A217835,2.2,Organisational Development - Local Government and Local Organisations
A217835,3,Outsourcing
A217835,2.1,Organisational Development - Central Civil Government
A217835,2.4,Organisational Development - Police & Criminal Justice
A217835,2.5,Organisational Development - Defence
A217835,2.3,Organisational Development - Health
A217836,1,Financial Management Consultancy
A217836,3,Audit and Assurance Services
A217836,2,Accountancy Services
A217837,2,Data Solutions
A217837,3,Convergent Solutions
A217837,4b,Specialised Communications Solutions - Satellite
A217837,8,eTransaction Solutions
A217837,9,Application Development
A217837,1,Voice Solutions
A217837,10,Customer Relationship Management (CRM) Solutions
A217837,12,Enterprise Resource Planning (ERP) Solutions
A217837,4d,Specialised Communications Solutions - Conferencing
A217837,4c,Specialised Communications Solutions - Microwave
A217837,4e,Specialised Communications Solutions - CCTV
A217837,7,Web Hosting Solutions
A217837,6,"Web Design, Development and Content Management Solutions"
A217837,11,Electronic Document & Records Management (EDRM) Solutions
A217837,5,Managed Desktop Solutions
A217837,4a,Specialised Communications Solutions - Radio
A217840,1,Board or Executive Committee level across all market sectors
A217840,2,Local Authorities And Education for all Interim Managers
A217840,4,Defence for all Interim Managers
A217840,5,Central Civil Government and Other Public Sector Bodies
A217840,3,Health for all Interim Managers
A217841,2,Procurement Consultancy
A217841,3,Project & Programme Management Consultancy
A217841,1,HR Consultancy
A217841,4,Marketing Consultancy & Market Research
A337223,2,Service
A337223,1,Hardware
A337571,1,Electronic E Sourcing
A607817,1,Travel - Rail Ticket Booking Services
A607818,1,Travel - Air And Ferry Ticket Booking
A607819,1,Travel - Hotel Room Booking
A607820,1,Travel - Conference Facilities Booking Services
A607821,1,Travel - Vehicle Hire
ADOS0001,2,Electronic Office Supplies & Magnetic Media
ADOS0001,1,Stationery
ADOS0001,4,Paper
BS1,1A2,"Indirect Voice & Internet Access, Subscriber Line, Other Bearer"
BS1,1A3,Internet Access
BS1,1B1,"Subscriber line, Voice & Internet Access"
BS1,1B2,"Indirect Voice & Internet Access, Subscriber Line, Other Bearer"
BS1,1B3,Internet Access
BS1,1B4,Indirect Internet Access
BS1,1A1,"Subscriber Line, Voice & Internet Access"
BS1,1A4,Indirect Internet Access
BS1,1A5,Subscriber Line and Voice
BS1,1A6,Indirect Outbound Voice
BS1,1A7,Bare Wire Subscriber Line
