framework_number,lot_number,salesforce_id,supplier_name
RM858,8,001b000003OCdAwAAL,Babcock Land Ltd
RM1031,1,001b000003OCczTAAT,Berendsen UK Limited
RM1031,1,001b000003OCcw6AAD,Central Laundry
RM1031,1,001b000003OCdJIAA1,East Lancashire Hospitals NHS Trust
RM1031,1,001b000003OCcweAAD,Express Linen Services Limited
RM1031,1,001b000003OCdJKAA1,Maidstone & Tunbridge Wells NHS Trust
RM1031,1,001b000003OCcyGAAT,Pennine Acute Hospitals NHS Trust
RM1031,1,001b000003OCeAJAA1,Royal Devon and Exeter Hospital
RM1031,1,001b000003OCcyuAAD,Salisbury Healthcare NHS Trust
RM1031,1,001b000003OCeAKAA1,Synergy Health Managed Services Ltd
RM1070,5,001b000003OCd7tAAD,ALEXANDER DENNIS LIMITED
RM1070,1,001b000003OCd2UAAT,Audi UK Ltd
RM1070,7,001b000003OCd2UAAT,Audi UK Ltd
RM1070,1,001b000003OCd1qAAD,BMW UK Ltd
RM1070,4,001b000003OCd1qAAD,BMW UK Ltd
RM1070,6,001b000003OCd1qAAD,BMW UK Ltd
RM1070,7,001b000003OCd1qAAD,BMW UK Ltd
RM1070,9,001b000003OCd1qAAD,BMW UK Ltd
RM1070,1,001b000003OCd0HAAT,Citroen UK Ltd
RM1070,2,001b000003OCd0HAAT,Citroen UK Ltd
RM1070,3,001b000003OCdnXAAT,DAF TRUCKS LIMITED
RM1070,3,001b000003OCd7uAAD,Dennis Eagle Limited
RM1070,4,001b000003OCdnYAAT,DUCATI UK LTD
RM1070,2,001b000003OCd7vAAD,EVOBUS (UK) LIMITED
RM1070,5,001b000003OCd7vAAD,EVOBUS (UK) LIMITED
RM1070,3,001b000003OCdnZAAT,FARID HILLEND ENGINEERING LIMITED
RM1070,1,001b000003OCd0SAAT,FIAT CHRYSLER AUTOMOBILES UK LTD
RM1070,2,001b000003OCd0SAAT,FIAT CHRYSLER AUTOMOBILES UK LTD
RM1070,1,001b000003OCd7wAAD,FORD MOTOR COMPANY LTD
RM1070,2,001b000003OCd7wAAD,FORD MOTOR COMPANY LTD
RM1070,7,001b000003OCd7wAAD,FORD MOTOR COMPANY LTD
RM1070,8,001b000003OCd7wAAD,FORD MOTOR COMPANY LTD
RM1070,1,001b000003OCd1oAAD,General Motors UK Ltd
RM1070,2,001b000003OCd1oAAD,General Motors UK Ltd
RM1070,7,001b000003OCd1oAAD,General Motors UK Ltd
RM1070,8,001b000003OCd1oAAD,General Motors UK Ltd
