urn,organisation,acronym,address1,address2,address3,towncity,county,country,postcode,sector,subsector
10583879,The Tate Gallery,,,,,,,,XXXX,Wider Public Sector,Other
10583878,Torus 62,,Th Observatory 1 Old Haymarket,Liverpool,,Liverpool,,GBR,L1 6RA,Wider Public Sector,Housing Associations
10583873,The English-Speaking Union,,Dartmouth House 37 Charles Street,London,,London,,England,W1J 5ED,Wider Public Sector,Charity
10583872,Neo Community,,Beaconsfield Close,Birkenhead,Merseyside,Birkenhead,Merseyside,England,CH42 3YN,Wider Public Sector,Charity
10583869,Water Hall Primary School,,Fern Grove Bletchley,Milton Keynes,,Milton Keynes,,,MK2 3QF,Wider Public Sector,Education
10583868,Nottingham & Nottinghamshire Refugee Forum,,,,,,,,XXXX,Wider Public Sector,Charity
10583851,North of England Commissioning Trust,,"1st Floor, Riverside House Goldcrest way",Newcastle upon Tyne,Tyne and Wear,Newcastle upon Tyne,Tyne and Wear,England,NE15 8NY,Wider Public Sector,TBA
10583848,Great Academy Ashton,,Broadoak Road,Ashton under Lyne,Greater Manchester,Ashton under Lyne,Greater Manchester,England,OL6 8RF,Wider Public Sector,Academy (All Types)
10583840,The Church in the Woottons,,47 Castle Rising Road South Wootton,King's Lynn,Norfolk,King's Lynn,Norfolk,England,PE30 3JA,Wider Public Sector,Other
10583836,Saracens Multi-Academy Trust,,Lanacre Avenue,London,,London,,,NW9 5FN,Wider Public Sector,Academy (All Types)
10583835,DfT OLR Holdings Ltd,,Great Minster House 33 Horseferry Road,London,,London,,England,SW1P 4DR,Central Government,Transport
10583831,Workers Educational Association,,Hanover Walk,Leeds,,Leeds,,,LS3 1AB,Wider Public Sector,Education
10583818,AGMA Procurement Hub,,Churchgate House 56 Oxford Street,Manchester,Greater Manchester,Manchester,Greater Manchester,England,M1 6EU,Wider Public Sector,Other
10583817,North Warwickshire First Responders,,,,,,,,XXXX,Wider Public Sector,Charity
10583810,St Alban Catholic Academies Trust,,,,,,,,XXXX,Wider Public Sector,Education
10583809,Bollinbrook CE Primary School,,"Abbey Road,","Bollinbrook,",,"Bollinbrook,",,,SK10 3AT.,Wider Public Sector,Local Authority Maintained School (All Types)
10583802,Coram Beanstalk,,Coram Campus 41 Brunswick Square,London,,London,,England,WC1N 1AZ,Wider Public Sector,Charity
10583801,Corsham Institute,,Hartham Park,Corsham,Wiltshire,Corsham,Wiltshire,England,SN13 0RP,Wider Public Sector,Charity
10583800,Action To Prevent Suicide CIC,,16 Follaton Rise Follaton Oak,Totnes,,Totnes,,England,TQ9 5FX.,Wider Public Sector,Other
10583791,The Dudley Group NHS Founation Trust,,,,,,,,XXXX,Central Government,Health
10583790,PCC OF ST MARY,,51 Churchgate,Waltham Cross,Hertfordshire,Waltham Cross,Hertfordshire,England,EN8 9NB,Wider Public Sector,Other
10583789,Addenbrookes Hospital,,,,,,,,XXXX,Central Government,Health
10583788,Lark Children's Centre,,Lark Hill,Plymouth,Devon,Plymouth,Devon,England,PL2 2LL,Wider Public Sector,Charity
