framework_short_name,lot_number,salesforce_id,supplier_name
RM1043iii,1,001b000003OCcasAAD,Accenture (UK) Ltd
RM1043iii,2,001b000003OCcasAAD,Accenture (UK) Ltd
RM1043iii,3,001b000003OCcasAAD,Accenture (UK) Ltd
RM1043iii,1,001b000003OCcazAAD,Capgemini Uk Plc
RM1043iii,2,001b000003OCcazAAD,Capgemini Uk Plc
RM1043iii,3,001b000003OCcazAAD,Capgemini Uk Plc
RM1043iii,1,001b000003OCcbNAAT,Informed Solutions
RM1043iii,2,001b000003OCcbNAAT,Informed Solutions
RM1043iii,1,001b000003OCcboAAD,SciSys Ltd
RM1043iii,2,001b000003OCcboAAD,SciSys Ltd
RM1043iii,1,001b000003OCcbwAAD,Triad Group Plc
RM1043iii,2,001b000003OCcbwAAD,Triad Group Plc
RM1043iii,3,001b000003OCcbwAAD,Triad Group Plc
RM1043iii,1,001b000003OCcbYAAT,Methods Business and Digital Technology Limited
RM1043iii,2,001b000003OCcbYAAT,Methods Business and Digital Technology Limited
RM1043iii,1,001b000003OCcdsAAD,Kainos Software Ltd
RM1043iii,2,001b000003OCcdsAAD,Kainos Software Ltd
RM1043iii,1,001b000003OCce3AAD,Tessella plc
RM1043iii,2,001b000003OCce3AAD,Tessella plc
RM1043iii,1,001b000003OCceDAAT,Leidos Innovations UK Limited
RM1043iii,2,001b000003OCceDAAT,Leidos Innovations UK Limited
RM1043iii,1,001b000003OCceKAAT,BAE Systems Applied Intelligence Ltd
RM1043iii,2,001b000003OCceKAAT,BAE Systems Applied Intelligence Ltd
RM1043iii,1,001b000003OCcffAAD,TATA Consultancy Services
RM1043iii,2,001b000003OCcffAAD,TATA Consultancy Services
RM1043iii,1,001b000003OCcjxAAD,Parity Consultancy Services Limited
RM1043iii,2,001b000003OCcjxAAD,Parity Consultancy Services Limited
RM1043iii,1,001b000003OCcklAAD,SFW Ltd
RM1043iii,2,001b000003OCcklAAD,SFW Ltd
RM1043iii,3,001b000003OCcklAAD,SFW Ltd
RM1043iii,1,001b000003OCct4AAD,People Source Consulting Ltd
RM1043iii,2,001b000003OCct4AAD,People Source Consulting Ltd
RM1043iii,1,001b000003OCctTAAT,Outsource UK Ltd
RM1043iii,2,001b000003OCctTAAT,Outsource UK Ltd
RM1043iii,4,001b000003OCctTAAT,Outsource UK Ltd
RM1043iii,1,001b000003OCcuyAAD,The Engine Group
RM1043iii,2,001b000003OCcuyAAD,The Engine Group
RM1043iii,4,001b000003OCcuyAAD,The Engine Group
RM1043iii,1,001b000003OCdbHAAT,Agile Byte Limited
RM1043iii,2,001b000003OCdbHAAT,Agile Byte Limited
RM1043iii,1,001b000003OCdbXAAT,Automation Logic
RM1043iii,2,001b000003OCdbXAAT,Automation Logic
RM1043iii,1,001b000003OCdFAAA1,BJSS LTD
RM1043iii,2,001b000003OCdFAAA1,BJSS LTD
RM1043iii,4,001b000003OCdfnAAD,CRD Research
RM1043iii,1,001b000003OCdGJAA1,MEDLEY BUSINESS SOLUTIONS LTD
RM1043iii,2,001b000003OCdGJAA1,MEDLEY BUSINESS SOLUTIONS LTD
RM1043iii,1,001b000003OCdjBAAT,FlatWorldWorks Ltd
RM1043iii,2,001b000003OCdjBAAT,FlatWorldWorks Ltd
RM1043iii,3,001b000003OCdjBAAT,FlatWorldWorks Ltd
RM1043iii,4,001b000003OCdjBAAT,FlatWorldWorks Ltd
RM1043iii,1,001b000003OCdjlAAD,Identity E2E
RM1043iii,2,001b000003OCdjlAAD,Identity E2E
RM1043iii,1,001b000003OCdkcAAD,Methods Digital Limited
RM1043iii,2,001b000003OCdkcAAD,Methods Digital Limited
RM1043iii,3,001b000003OCdkcAAD,Methods Digital Limited
RM1043iii,4,001b000003OCdkcAAD,Methods Digital Limited
RM1043iii,1,001b000003OCdPrAAL,Equal Experts
RM1043iii,2,001b000003OCdPrAAL,Equal Experts
RM1043iii,1,001b000003OCdpsAAD,Infinity Works Consulting
RM1043iii,2,001b000003OCdpsAAD,Infinity Works Consulting
RM1043iii,1,001b000003OCdPvAAL,Cameron and Wilding Ltd
RM1043iii,2,001b000003OCdPvAAL,Cameron and Wilding Ltd
RM1043iii,2,001b000003OCdQmAAL,THE INTERNET BUSINESS LIMITED
RM1043iii,1,001b000003OCdR0AAL,Valtech Ltd
RM1043iii,2,001b000003OCdR0AAL,Valtech Ltd
RM1043iii,3,001b000003OCdR0AAL,Valtech Ltd
RM1043iii,4,001b000003OCdR0AAL,Valtech Ltd
RM1043iii,1,001b000003OCdRaAAL,Mozaic-Services Ltd
RM1043iii,2,001b000003OCdRaAAL,Mozaic-Services Ltd
RM1043iii,1,001b000003OCdRsAAL,Organised Computer Systems Limited
RM1043iii,2,001b000003OCdRsAAL,Organised Computer Systems Limited
RM1043iii,1,001b000003OCdVSAA1,Clarasys Limited
RM1043iii,2,001b000003OCdVSAA1,Clarasys Limited
RM1043iii,1,001b000003OCdWTAA1,eSynergy Solutions Limited
RM1043iii,2,001b000003OCdWTAA1,eSynergy Solutions Limited
RM1043iii,1,001b000003OCdxPAAT,Interact Consulting Limited
RM1043iii,2,001b000003OCdxPAAT,Interact Consulting Limited
