urn,organisation,acronym,address1,address2,address3,towncity,county,country,postcode,sector,subsector,active
10584069,Mab Lane Primary School,,Mab Lane Primary School Mab Lane,Liverpool,Merseyside,Liverpool,Merseyside,England,L12 6QL,Wider Public Sector,Education,TRUE
10584065,Pathway Project,,PO Box 4168,Lichfield,,Lichfield,,,WS13 8WY,Wider Public Sector,Charity,TRUE
10584064,Impact Education Trust,,The Halifax Academy Gibbet St,Halifax,West Yorkshire,Halifax,West Yorkshire,England,HX2 0BA.,Wider Public Sector,Academy (All Types),TRUE
10584063,HMP Styal,,Styal Road,Wilmslow,Cheshire,Wilmslow,Cheshire,England,SK9 4HR.,Central Government,Prisons,TRUE
10584057,Roundhouse Health Centre,,6 Mollison Square,Wallington,,Wallington,,,SM6 0DE,Wider Public Sector,GP Practice,TRUE
10584056,Bangladeshi Parents and Carers Association,,St Margarets House 21 Old Ford Road,London,Greater London,London,Greater London,England,E2 9PL,Wider Public Sector,Charity,TRUE
10584048,Phone-Paid Services Authority,,40 Bank Street,London,,London,,England,E14 5NR.,Wider Public Sector,Other,TRUE
10584047,Forestry Commission Scotland,,231 Corstorphine Road,Edinburgh,,Edinburgh,,,EH12 7AT.,Wider Public Sector,Local Government,TRUE
10584046,Acivico Limited,,Louisa House 92-93 Edward Street,Birmingham,West Midlands,Birmingham,West Midlands,England,B1 2RA,Wider Public Sector,Other,TRUE
10584043,Tudhoe Learning Trust,,"Tudhoe Colliery Primary School, Front Street, Tudhoe, Co Durham,",Tudhoe,,Tudhoe,,,DL16 6TJ,Wider Public Sector,Education,TRUE
10584038,Welsh Government - ESNR Business Information Finance and Performance,,"Creative Industries, St Line House, Mount Stuart Square",Cardiff,,Cardiff,,,CF10 5LR,Wider Public Sector,Local Government,TRUE
10584028,Tyne North Training,,Embleton Avenue,Wallsend,Tyne and Wear,Wallsend,Tyne and Wear,England,NE28 9NJ,Wider Public Sector,Charity,TRUE
10584019,Rotary Club Of Llangollen,,The Hand Hotel Bridge Street,Llangollen,Denbighshire,Llangollen,Denbighshire,Wales,LL20 8PL,Wider Public Sector,Not for Profit,TRUE
10584015,Bourne Education Trust,,Bourne Education Trust Ruxley Lane West Ewell Ewell,Surrey,,Surrey,,,KT19 9JW,Wider Public Sector,Education,TRUE
10584001,Alvechurch Parish Council,,1A George Road Alvechurch,Birmingham,Worcestershire,Birmingham,Worcestershire,England,B48 7PB,Wider Public Sector,Parish Council,TRUE
10584000,Wood End Academy,,Wood End Academy Vernon Rise,Greenford,Middlesex,Greenford,Middlesex,England,UB6 0EQ.,Wider Public Sector,Academy (All Types),TRUE
10583989,Alderman Bolton Primary School,,Longdin Street,Warrington,Cheshire,Warrington,Cheshire,England,WA4 1PW,Wider Public Sector,Local Authority Maintained School (All Types),TRUE
10583987,St. Paul's Catholic Primary School,,77 Sisefield Road,Birmingham,West Midlands,Birmingham,West Midlands,England,B38 9JB,Wider Public Sector,Local Authority Maintained School (All Types),TRUE
10583986,Hagley Parish Council,,74A Worcester Road Hagley,Stourbridge,Worcestershire,Stourbridge,Worcestershire,England,DY9 0NJ,Wider Public Sector,Parish Council,TRUE
10583985,Newfriars College,,Newfriars College (formerly Blackfriars FE Department) Castle Grove off Newhouse Road,Bucknall,Lincolnshire,Bucknall,Lincolnshire,England,ST2 8BH,Wider Public Sector,Academy (All Types),TRUE
10583977,Versus Arthritis,,Copeman House St. Marys Court St. Marys Gate,Chesterfield,Derbyshire,Chesterfield,Derbyshire,England,S41 7TD,Wider Public Sector,Charity,TRUE
10583976,Carhampton Parish Council,,West Somerset House Killick Way Williton,Taunton,Somerset,Taunton,Somerset,England,TA4 4QA,Wider Public Sector,Parish Council,TRUE
10583957,Ludlow C E School,,Ludlow School The Burway Bromfield Road,Ludlow,Shropshire,Ludlow,Shropshire,England,SY8 1GJ.,Wider Public Sector,Education,TRUE
10583956,St John's Foundation est 1174,,4-5 Chapel Court,Bath,Somerset,Bath,Somerset,England,BA1 1SQ,Wider Public Sector,Charity,TRUE
10583955,St. Mary's Church,,Ely,,,,,,CB7 4HF,Wider Public Sector,Charity,TRUE
